lat,long,signal_strength
59.303672,18.0977295,-87
59.303672,18.0977295,-92
59.303672,18.0977295,-89
59.303672,18.0977295,-89
59.303672,18.0977295,-81
59.303672,18.0977295,-81
59.303672,18.0977295,-84
59.303672,18.0977295,-83
59.303672,18.0977295,-93
59.303672,18.0977295,-91
59.303672,18.0977295,-92
59.303672,18.0977295,-84
59.303672,18.0977295,-88
59.303672,18.0977295,-89
59.3036948,18.097659,-87
59.3036948,18.097659,-92
59.3036948,18.097659,-89
59.3036948,18.097659,-91
59.3036948,18.097659,-90
59.3036948,18.097659,-83
59.3036948,18.097659,-83
59.3036948,18.097659,-94
59.3036948,18.097659,-92
59.3036948,18.097659,-85
59.3036948,18.097659,-84
59.3036948,18.097659,-84
59.3036948,18.097659,-79
59.3036948,18.097659,-83
59.3036948,18.097659,-89
59.3036948,18.097659,-90
59.3036948,18.097659,-90
59.3036948,18.097659,-90
59.3036948,18.097659,-93
59.3036948,18.097659,-94
59.3036948,18.097659,-95
59.3036965,18.0975962,-78
59.3036965,18.0975962,-91
59.3036965,18.0975962,-90
59.3036965,18.0975962,-85
59.3036965,18.0975962,-94
59.3036965,18.0975962,-91
59.3036965,18.0975962,-85
59.3036965,18.0975962,-86
59.3036965,18.0975962,-84
59.3036965,18.0975962,-79
59.3036965,18.0975962,-67
59.3036965,18.0975962,-89
59.3036965,18.0975962,-90
59.3036965,18.0975962,-90
59.3036965,18.0975962,-90
59.3036965,18.0975962,-93
59.3036965,18.0975962,-94
59.3036965,18.0975962,-95
59.3036965,18.0975962,-83
59.3036965,18.0975962,-85
59.3036965,18.0975962,-88
59.3036965,18.0975962,-89
59.3039784,18.0970625,-85
59.3039784,18.0970625,-87
59.3039784,18.0970625,-78
59.3039784,18.0970625,-90
59.3039784,18.0970625,-82
59.3039784,18.0970625,-85
59.3039784,18.0970625,-85
59.3039784,18.0970625,-89
59.3039784,18.0970625,-82
59.3039784,18.0970625,-82
59.3039784,18.0970625,-85
59.3039784,18.0970625,-87
59.3039784,18.0970625,-89
59.3039784,18.0970625,-90
59.3039784,18.0970625,-86
59.3036813,18.0975109,-87
59.3036813,18.0975109,-87
59.3036813,18.0975109,-74
59.3036813,18.0975109,-77
59.3036813,18.0975109,-82
59.3036813,18.0975109,-82
59.3036813,18.0975109,-85
59.3036813,18.0975109,-87
59.3036813,18.0975109,-89
59.3036813,18.0975109,-90
59.3036813,18.0975109,-86
59.3036813,18.0975109,-68
59.3036813,18.0975109,-68
59.3036813,18.0975109,-68
59.3036813,18.0975109,-70
59.3036813,18.0975109,-92
59.303675,18.0975006,-87
59.303675,18.0975006,-74
59.303675,18.0975006,-77
59.303675,18.0975006,-80
59.303675,18.0975006,-68
59.303675,18.0975006,-68
59.303675,18.0975006,-68
59.303675,18.0975006,-70
59.303675,18.0975006,-92
59.303675,18.0975006,-76
59.303675,18.0975006,-77
59.303675,18.0975006,-87
59.303675,18.0975006,-87
59.303675,18.0975006,-88
59.303675,18.0975006,-90
59.303675,18.0975006,-90
59.303675,18.0975006,-92
59.303675,18.0975006,-84
59.303675,18.0975006,-80
59.303675,18.0975006,-84
59.303675,18.0975006,-83
59.303675,18.0975006,-76
59.303675,18.0975006,-77
59.303675,18.0975006,-88
59.303675,18.0975006,-87
59.303675,18.0975006,-88
59.303675,18.0975006,-90
59.303675,18.0975006,-90
59.303675,18.0975006,-92
59.303675,18.0975006,-87
59.303675,18.0975006,-83
59.303675,18.0975006,-83
59.303675,18.0975006,-83
59.303675,18.0975006,-84
59.303675,18.0975006,-85
59.303675,18.0975006,-89
59.303675,18.0975006,-84
59.303675,18.0975006,-81
59.303675,18.0975006,-84
59.303675,18.0975006,-83
59.303675,18.0975006,-88
59.303675,18.0975006,-87
59.303675,18.0975006,-77
59.303675,18.0975006,-83
59.303675,18.0975006,-83
59.303675,18.0975006,-84
59.303675,18.0975006,-85
59.303675,18.0975006,-90
59.303675,18.0975006,-77
59.303675,18.0975006,-82
59.303675,18.0975006,-87
59.303675,18.0975006,-84
59.303675,18.0975006,-89
59.303675,18.0975006,-89
