,osm_id,name,type,coords
10,23316005,,,"[(18.0665259, 59.3481238), (18.0667399, 59.3482088), (18.0667741, 59.3482224), (18.0667103, 59.3482642), (18.0667627, 59.348285), (18.0668094, 59.3483036), (18.0676828, 59.3477323), (18.0676328, 59.3477124), (18.0675499, 59.3476795), (18.0675071, 59.3476625), (18.0671972, 59.3478652), (18.0671131, 59.3478318), (18.0669854, 59.3479153), (18.0670222, 59.3479299), (18.066908, 59.3480046), (18.0667837, 59.3479552), (18.0665259, 59.3481238)]"
11,27425319,,,"[(18.0761454, 59.3468132), (18.076185, 59.3468246), (18.0761473, 59.3468589), (18.0762431, 59.3468863), (18.0762821, 59.3468507), (18.0763204, 59.3468616), (18.0763655, 59.3468206), (18.0761917, 59.346771), (18.0761454, 59.3468132)]"
12,27735130,,,"[(18.0675687, 59.3472725), (18.0676518, 59.3472434), (18.0677139, 59.3472905), (18.0681563, 59.3471312), (18.0680952, 59.3470861), (18.0678543, 59.3469927), (18.0678758, 59.3470457), (18.0678702, 59.3470792), (18.0678223, 59.3471168), (18.0677436, 59.3471326), (18.0676665, 59.347134), (18.0675719, 59.3471025), (18.0674152, 59.3471604), (18.0675687, 59.3472725)]"
13,27735204,,,"[(18.06922, 59.3482678), (18.0690075, 59.3483645), (18.069577, 59.3486899), (18.0696767, 59.3487469), (18.0698892, 59.3486502), (18.06922, 59.3482678)]"
14,27735211,,,"[(18.0694886, 59.3479637), (18.0696037, 59.3480493), (18.0696257, 59.3480656), (18.0702241, 59.3478565), (18.0700869, 59.3477545), (18.0694886, 59.3479637)]"
15,27735218,,,"[(18.0686505, 59.348018), (18.06832, 59.3482), (18.0684743, 59.3482728), (18.0686024, 59.3482023), (18.0687436, 59.348269), (18.0689461, 59.3481575), (18.0686505, 59.348018)]"
16,27735228,,university,"[(18.0684378, 59.3492357), (18.0691236, 59.3494444), (18.0698312, 59.3488572), (18.0696277, 59.3487975), (18.0696767, 59.3487469), (18.069577, 59.3486899), (18.0695057, 59.3487487), (18.0688722, 59.3485478), (18.0685819, 59.3487914), (18.0690121, 59.3489213), (18.0689416, 59.3489795), (18.0686102, 59.3488807), (18.0684676, 59.3490014), (18.068649, 59.3490595), (18.0684378, 59.3492357)]"
17,31978955,KTH: Administration,university,"[(18.0701846, 59.3501567), (18.0706198, 59.3502044), (18.0706064, 59.3502361), (18.070904, 59.3502687), (18.0711839, 59.3496046), (18.0711069, 59.3495962), (18.0710075, 59.3498322), (18.0703702, 59.3497624), (18.0703114, 59.349756), (18.0702677, 59.3498597), (18.0703109, 59.3498645), (18.0706583, 59.3499025), (18.0705917, 59.3500607), (18.0702412, 59.3500223), (18.0701846, 59.3501567)]"
18,33033862,,,"[(18.0623867, 59.3472357), (18.0616348, 59.3480039), (18.0618778, 59.3480651), (18.062503, 59.3474109), (18.0629973, 59.3475301), (18.0621308, 59.3479116), (18.0622868, 59.3480122), (18.0629321, 59.3477255), (18.0633389, 59.3475448), (18.0631586, 59.3474327), (18.0623867, 59.3472357)]"
19,33034013,,,"[(18.0631591, 59.347194), (18.0630603, 59.3472973), (18.0636956, 59.3474553), (18.0637945, 59.347352), (18.0631591, 59.347194)]"
20,33034135,,,"[(18.0642824, 59.3482543), (18.0641406, 59.3483168), (18.0642881, 59.3484038), (18.0629956, 59.3489731), (18.0631639, 59.3490724), (18.0635929, 59.3488835), (18.0636357, 59.3489087), (18.0641026, 59.3487031), (18.0641396, 59.3487249), (18.0646292, 59.3485092), (18.0645387, 59.3484559), (18.0645875, 59.3484344), (18.0643598, 59.3483), (18.0642824, 59.3482543)]"
21,33034289,,,"[(18.0654531, 59.3488642), (18.0645239, 59.3492687), (18.0646818, 59.349363), (18.0656111, 59.3489585), (18.0654531, 59.3488642)]"
